                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260716"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73 
                            model_number                                num_zones                                 star_age                            time_step_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                                    log_L                                    log_R                                radius_cm                                 log_R_cm                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                           total_mass_n13                           total_mass_o14                           total_mass_o15                           total_mass_f17                           total_mass_f18                          total_mass_ne18                          total_mass_ne19                             max_tau_conv                              num_retries                                num_iters 
                                       1                                      891                  5.0000000000000004E-006                  1.5778800000000001E+002                 -5.3010299956639804E+000                  1.1154486247277422E+000                  3.3345955482729458E+001                 -8.9999999999999982E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999353584E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808003356E-001                  8.7444820886396800E-008                  9.7933007934810501E-001                  9.7835361620665873E-001                 -2.5978592629374891E+001                 -2.6742016777480821E+001                 -1.4353023701840829E+001                 -1.4353023701839623E+001                 -2.5978887748546946E+001                 -2.9146527068078768E+001                 -2.6742016777480821E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277422E+000                  1.1154421505898471E+000                  1.0422561901036314E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2288886220085605E+011                  3.1549471158124201E+004                  4.4989920838643567E+000                 -1.4315343089251966E+000                 -2.1910981613268143E+000                  4.4804727677367049E+008                  8.6513238420308340E+000                  8.8677135223255537E+000                 -2.1692283977559658E-006                  7.6785483285934122E+000                  7.9264987662886091E+000                  2.5220844335068019E+001                  2.5220844335068019E+001                  7.9264987662886091E+000                  7.6785483285934122E+000                  1.8029458074598383E+000                  4.9904376340038503E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556198913E-022                  3.8204556322864618E-002                  4.0072947425570721E-001                  1.4297424564416235E-009                  3.8383140872048934E-009                  3.5000000000000017E-015                  1.8549978130087496E-005                  1.1306086902191553E-044                  1.2036904113900690E-086                  3.3612812405716547E-067                  3.9811844314655833E-048                  4.0236547825522624E-053                  9.3469756011379360E-095                  2.9470907150436287E-096                  1.4163020272395408E+003                                        1                                        8 
                                       2                                      896                  7.9999999999999996E-006                  9.4672800000000009E+001                 -5.5228787452803374E+000                  1.1154486247277453E+000                  3.3345955482729465E+001                 -8.9999999999999982E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999460032E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808003289E-001                  8.7444820730691419E-008                  9.7933007934810401E-001                  9.7835361620665773E-001                 -2.5978539842459739E+001                 -2.6742024799381745E+001                 -1.4353028562654167E+001                 -1.4353028562652961E+001                 -2.5978851641582924E+001                 -2.9122605154425461E+001                 -2.6742024799381745E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277453E+000                  1.1154421505898489E+000                  1.0422561901036338E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5536820680336990E+010                  3.4540635733917123E+004                  4.5383303266648882E+000                 -1.2741770389967977E+000                 -2.1910960119636789E+000                  4.4804949420613354E+008                  8.6513259913939695E+000                  8.8677092235992845E+000                  1.0613271287203080E-005                  7.6785509696904644E+000                  7.9264988826749789E+000                  2.5220844499502444E+001                  2.5220844499502444E+001                  7.9264988826749789E+000                  7.6785509696904644E+000                  1.8029458074598386E+000                  4.9904376340038481E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556211942E-022                  3.8204556322864368E-002                  4.0072947425570665E-001                  2.2875685093665480E-009                  6.1412901687757112E-009                  5.6000000000000066E-015                  1.8549978130927387E-005                  1.7407648771928091E-044                  2.0907233997537170E-086                  4.6689840792898953E-067                  5.1462904020415140E-048                  6.3697604097079346E-053                  1.2179183190365169E-094                  4.8909857955558316E-096                  3.9263651425126003E+005                                        2                                        5 
                                       3                                      903                  1.1000000000000000E-005                  9.4672800000000009E+001                 -5.5228787452803374E+000                  1.1154486247277482E+000                  3.3345955482729465E+001                 -8.9999999999999982E+000                  1.9507977060519086E-007                  1.0000000000000000E+000                  9.9999999999467648E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808002989E-001                  8.7444820076235740E-008                  9.7933007934810057E-001                  9.7835361620665429E-001                 -2.5978470358947657E+001                 -2.6742027473037844E+001                 -1.4353030182703195E+001                 -1.4353030182701989E+001                 -2.5978797091611884E+001                 -2.9102225472257548E+001                 -2.6742027473037844E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277482E+000                  1.1154421505898477E+000                  1.0422561901036329E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2053582550310608E+010                  3.4901450679749723E+004                  4.5428434787963337E+000                 -1.2561224652615774E+000                 -2.1910950293589591E+000                  4.4805050793314171E+008                  8.6513269739986889E+000                  8.8677072583898457E+000                  4.7489437883186991E-006                  7.6785520015878062E+000                  7.9264990723157549E+000                  2.5220844762015641E+001                  2.5220844762015641E+001                  7.9264990723157549E+000                  7.6785520015878062E+000                  1.8029458075693146E+000                  4.9904376339985085E-001                  1.7984292506101173E+001                  0.0000000000000000E+000                  2.0427684716970922E-022                  3.8204555761822356E-002                  4.0072947309786000E-001                  3.1453941150974769E-009                  8.4442650497802251E-009                  7.7000000000000139E-015                  1.8549978131767251E-005                  2.2895185371745412E-044                  3.0099735425958770E-086                  5.5156360537842919E-067                  5.7121647106708451E-048                  8.6582011025664590E-053                  1.3544271635074179E-094                  6.8284198682982516E-096                  3.1775074256409713E+004                                        2                                        5 
                                       4                                      910                  1.4600000000000001E-005                  1.1360736000000001E+002                 -5.4436974992327123E+000                  1.1154486247277520E+000                  3.3345955482729465E+001                 -8.9999999999999982E+000                  1.9508039925940801E-007                  1.0000000000000000E+000                  9.9999999999478129E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808002723E-001                  8.7444819317766877E-008                  9.7933007934809757E-001                  9.7835361620665129E-001                 -2.5978361901830073E+001                 -2.6742027472558576E+001                 -1.4353030182388990E+001                 -1.4353030182387783E+001                 -2.5978704335748365E+001                 -2.9081740643567073E+001                 -2.6742027472558576E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277520E+000                  1.1154421505898480E+000                  1.0422561901036329E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0566734201501495E+010                  3.4050622898658963E+004                  4.5321250610058073E+000                 -1.2989944622934508E+000                 -2.1910941922938441E+000                  4.4805137151264161E+008                  8.6513278110638048E+000                  8.8677055842596157E+000                  3.3899807322744964E-006                  7.6785527528239319E+000                  7.9264990714276466E+000                  2.5220844762037089E+001                  2.5220844762037089E+001                  7.9264990714276466E+000                  7.6785527528239319E+000                  1.8029458075715084E+000                  4.9904376339984030E-001                  1.7984292506316006E+001                  0.0000000000000000E+000                  2.0427685341441990E-022                  3.8204555750578906E-002                  4.0072947307465634E-001                  4.1747842516790187E-009                  1.1207833322239426E-008                  1.0220000000000020E-014                  1.8549978132775108E-005                  2.8698959740159954E-044                  4.0611881966893606E-086                  6.1281520686277005E-067                  6.0077698172556760E-048                  1.1323593911848916E-052                  1.4241647769158384E-094                  9.0892653417265885E-096                  2.6769082110960159E+005                                        2                                        6 
                                       5                                      924                  1.8920000000000002E-005                  1.3632883200000001E+002                 -5.3645162531850872E+000                  1.1154486247277562E+000                  3.3345955482729465E+001                 -8.9999999999999982E+000                  1.9508039391266942E-007                  1.0000000000000000E+000                  9.9999999999497802E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808002345E-001                  8.7444818737201813E-008                  9.7933007934809368E-001                  9.7835361620664740E-001                 -2.5978190913083072E+001                 -2.6742027472386962E+001                 -1.4353030182256269E+001                 -1.4353030182255063E+001                 -2.5978549423506134E+001                 -2.9061652680727576E+001                 -2.6742027472386962E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277562E+000                  1.1154421505898477E+000                  1.0422561901036325E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0617331384771112E+011                  3.2723695282719298E+004                  4.5148623399344414E+000                 -1.3680425337765929E+000                 -2.1910927858926823E+000                  4.4805282246589088E+008                  8.6513292174649656E+000                  8.8677027714572958E+000                  4.9039277713911757E-006                  7.6785535017131528E+000                  7.9264990705266545E+000                  2.5220844762037125E+001                  2.5220844762037125E+001                  7.9264990705266545E+000                  7.6785535017131528E+000                  1.8029458075715150E+000                  4.9904376339984030E-001                  1.7984292506316681E+001                  0.0000000000000000E+000                  2.0427685343397015E-022                  3.8204555750543712E-002                  4.0072947307458362E-001                  5.4100515655520378E-009                  1.4524112967158022E-008                  1.3244000000000020E-014                  1.8549978133984536E-005                  3.4692021153078223E-044                  5.1912153340560095E-086                  6.5357839583789664E-067                  6.1416767205412257E-048                  1.4409639136504709E-052                  1.4537590494629159E-094                  1.1698519080457919E-095                  2.5609330706276104E+005                                        2                                        6 
                                       6                                      931                  2.4104000000000002E-005                  1.6359459840000000E+002                 -5.2853350071374630E+000                  1.1154486247277615E+000                  3.3345955482729472E+001                 -8.9999999999999982E+000                  1.9508039672570414E-007                  1.0000000000000000E+000                  9.9999999999540845E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808001979E-001                  8.7444819022371773E-008                  9.7933007934808924E-001                  9.7835361620664296E-001                 -2.5977935122714872E+001                 -2.6742027472307218E+001                 -1.4353030182172329E+001                 -1.4353030182171121E+001                 -2.5978309576365042E+001                 -2.9042508578947288E+001                 -2.6742027472307218E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277615E+000                  1.1154421505898480E+000                  1.0422561901036334E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3563341077008356E+011                  3.0780285343618802E+004                  4.4882726415703358E+000                 -1.4743963385647731E+000                 -2.1910902915585608E+000                  4.4805539582728356E+008                  8.6513317117990880E+000                  8.8676977827890546E+000                  7.5159690027286047E-006                  7.6785538761926873E+000                  7.9264990700759945E+000                  2.5220844762036982E+001                  2.5220844762036982E+001                  7.9264990700759945E+000                  7.6785538761926873E+000                  1.8029458075715157E+000                  4.9904376339984013E-001                  1.7984292506316692E+001                  0.0000000000000000E+000                  2.0427685343423217E-022                  3.8204555750543233E-002                  4.0072947307458273E-001                  6.8923711181653104E-009                  1.8503645254937459E-008                  1.6872800000000015E-014                  1.8549978135435866E-005                  4.0707836440219194E-044                  6.3452328312790453E-086                  6.7806277504775201E-067                  6.1888409614215774E-048                  1.7957364923073570E-052                  1.4615319783335399E-094                  1.4683028713188288E-095                  1.3942925278299329E+003                                        2                                        6 
                                       7                                      931                  2.8251200000000002E-005                  1.3087567872000000E+002                 -5.3822450201455192E+000                  1.1154486247277657E+000                  3.3345955482729472E+001                 -8.9999999999999982E+000                  1.9508037214751491E-007                  1.0000000000000000E+000                  9.9999999999612532E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808001724E-001                  8.7444818992540173E-008                  9.7933007934808602E-001                  9.7835361620663974E-001                 -2.5977783142951957E+001                 -2.6742027472226937E+001                 -1.4353030182093287E+001                 -1.4353030182092079E+001                 -2.5978168559066955E+001                 -2.9029830278661642E+001                 -2.6742027472226937E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277657E+000                  1.1154421505898484E+000                  1.0422561901036340E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9964844418131348E+010                  3.3220064549603696E+004                  4.5214004719898320E+000                 -1.3418796388854182E+000                 -2.1910876025578765E+000                  4.4805817003935850E+008                  8.6513344007997723E+000                  8.8676924047876877E+000                  9.7838655533331706E-006                  7.6785544378817594E+000                  7.9264990694002604E+000                  2.5220844762037064E+001                  2.5220844762037064E+001                  7.9264990694002604E+000                  7.6785544378817594E+000                  1.8029458075715157E+000                  4.9904376339984019E-001                  1.7984292506316702E+001                  0.0000000000000000E+000                  2.0427685343444047E-022                  3.8204555750542851E-002                  4.0072947307458190E-001                  8.0782257988337089E-009                  2.1687268504063897E-008                  1.9775840000000003E-014                  1.8549978136596924E-005                  4.4867100738538214E-044                  7.1460588561837373E-086                  6.8868360444509808E-067                  6.1968136124705670E-048                  2.0699163350890630E-052                  1.4605030221106059E-094                  1.6978073902198644E-095                  1.6494639281320899E+003                                        2                                        6 
                                       8                                      931                  3.1568959999999999E-005                  1.0470054297600001E+002                 -5.4791550331535754E+000                  1.1154486247277691E+000                  3.3345955482729472E+001                 -8.9999999999999982E+000                  1.9508039806439058E-007                  1.0000000000000000E+000                  9.9999999999624323E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808001157E-001                  8.7444815206991986E-008                  9.7933007934808014E-001                  9.7835361620663386E-001                 -2.5977662484101405E+001                 -2.6742027472182762E+001                 -1.4353030182042156E+001                 -1.4353030182040948E+001                 -2.5978055624138825E+001                 -2.9021096075925541E+001                 -2.6742027472182762E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277691E+000                  1.1154421505898451E+000                  1.0422561901036305E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9761845576598587E+010                  3.5148942353053688E+004                  4.5459122614428056E+000                 -1.2438291862664899E+000                 -2.1910859551543598E+000                  4.4805986965571505E+008                  8.6513360482032891E+000                  8.8676891099806561E+000                  7.1861976050008381E-006                  7.6785549992305677E+000                  7.9264990687233512E+000                  2.5220844762034972E+001                  2.5220844762034972E+001                  7.9264990687233512E+000                  7.6785549992305677E+000                  1.8029458075715159E+000                  4.9904376339984019E-001                  1.7984292506316709E+001                  0.0000000000000000E+000                  2.0427685343467390E-022                  3.8204555750542421E-002                  4.0072947307458101E-001                  9.0269089280588890E-009                  2.4234165451464690E-008                  2.2098271999999994E-014                  1.8549978137525767E-005                  4.7821619850369097E-044                  7.7143364905644706E-086                  6.9358269590736731E-067                  6.1943508349723744E-048                  2.2832492278655067E-052                  1.4575390867315469E-094                  1.8756332857384052E-095                  2.1286289973251542E+003                                        2                                        6 
                                       9                                      931                  3.4223168000000000E-005                  8.3760434380800007E+001                 -5.5760650461616317E+000                  1.1154486247277717E+000                  3.3345955482729472E+001                 -8.9999999999999982E+000                  1.9508040803514376E-007                  1.0000000000000000E+000                  9.9999999999622557E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808001135E-001                  8.7444815498762623E-008                  9.7933007934807936E-001                  9.7835361620663308E-001                 -2.5977571663327826E+001                 -2.6742027472108262E+001                 -1.4353030181974965E+001                 -1.4353030181973757E+001                 -2.5977970377381332E+001                 -2.9014893772856940E+001                 -2.6742027472108262E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277717E+000                  1.1154421505898469E+000                  1.0422561901036327E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9932319330569809E+010                  3.6323768506022221E+004                  4.5601908992231843E+000                 -1.1867128276463168E+000                 -2.1910850514050315E+000                  4.4806080205123127E+008                  8.6513369519526169E+000                  8.8676873024819987E+000                  4.7597033810014838E-006                  7.6785560766610157E+000                  7.9264990674272386E+000                  2.5220844762035195E+001                  2.5220844762035195E+001                  7.9264990674272386E+000                  7.6785560766610157E+000                  1.8029458075715157E+000                  4.9904376339984019E-001                  1.7984292506316720E+001                  0.0000000000000000E+000                  2.0427685343498463E-022                  3.8204555750541873E-002                  4.0072947307457990E-001                  9.7858550376412814E-009                  2.6271681952170058E-008                  2.3956217600000015E-014                  1.8549978138268825E-005                  4.9967713874617618E-044                  8.1260452971912928E-086                  6.9594229000318724E-067                  6.1894411364930229E-048                  2.4501474947405370E-052                  1.4544615437070586E-094                  2.0142782772841122E-095                  8.3755475453013656E+004                                        2                                        5 
